Date,AGG,GLD,SPY,VNQ
2010-01-04,68.482177734375,109.80000305175781,85.76847076416016,24.488727569580078
2010-01-05,68.79371643066406,109.69999694824219,85.99549102783203,24.461252212524414
2010-01-06,68.75399017333984,111.51000213623047,86.0560073852539,24.417264938354492
2010-01-07,68.67447662353516,110.81999969482422,86.4193115234375,24.68112564086914
2010-01-08,68.71428680419922,111.37000274658203,86.70684051513672,24.499719619750977
2010-01-11,68.66116333007812,112.8499984741211,86.82795715332031,24.642654418945312
2010-01-12,69.0987319946289,110.48999786376953,86.01820373535156,24.230377197265625
2010-01-13,68.80697631835938,111.54000091552734,86.74469757080078,24.719606399536133
2010-01-14,68.98599243164062,112.02999877929688,86.97930908203125,24.697608947753906
2010-01-15,69.11859130859375,110.86000061035156,86.00306701660156,24.510719299316406
2010-01-19,69.00590515136719,111.5199966430664,87.07770538330078,25.01093292236328
2010-01-20,69.18486785888672,108.94000244140625,86.1922378540039,24.730592727661133
2010-01-21,69.20472717285156,107.37000274658203,84.53485870361328,24.02149772644043
2010-01-22,69.24447631835938,107.16999816894531,82.6504135131836,23.41683578491211
2010-01-25,69.23785400390625,107.4800033569336,83.07421875,23.581735610961914
2010-01-26,69.32405853271484,107.55999755859375,82.7260971069336,23.361865997314453
2010-01-27,69.27098083496094,106.52999877929688,83.11962890625,23.570749282836914
2010-01-28,69.21136474609375,106.4800033569336,82.16607666015625,23.367366790771484
2010-01-29,69.37047576904297,105.95999908447266,81.27303314208984,23.235435485839844
2010-02-01,69.27532958984375,108.3499984741211,82.5368881225586,23.658702850341797
2010-02-02,69.35517883300781,109.12999725341797,83.53587341308594,23.98302459716797
2010-02-03,69.22882080078125,108.69999694824219,83.11962890625,23.59273910522461
2010-02-04,69.39505004882812,104.37000274658203,80.5540771484375,22.718727111816406
2010-02-05,69.4216537475586,104.68000030517578,80.7205810546875,23.136486053466797
2010-02-08,69.55467224121094,104.04000091552734,80.13784790039062,22.630773544311523
2010-02-09,69.42831420898438,105.41000366210938,81.14436340332031,22.5593204498291
2010-02-10,69.26873016357422,105.12000274658203,80.98544311523438,22.60329818725586
2010-02-11,69.15567016601562,107.12999725341797,81.83306884765625,22.817676544189453
2010-02-12,69.16896057128906,107.04000091552734,81.76496887207031,23.087018966674805
2010-02-16,69.34187316894531,109.62000274658203,83.05152130126953,23.741151809692383
2010-02-17,69.12906646728516,109.25,83.4450454711914,23.955524444580078
2010-02-18,69.1024169921875,109.9800033569336,83.9369888305664,24.312828063964844
2010-02-19,69.15567016601562,109.47000122070312,84.11105346679688,24.32931900024414
2010-02-22,69.03594207763672,109.06999969482422,84.1261978149414,24.38979148864746
2010-02-23,69.28202056884766,107.88999938964844,83.10449981689453,24.202896118164062
2010-02-24,69.35517883300781,107.36000061035156,83.86888122558594,24.450254440307617
2010-02-25,69.49481964111328,108.30999755859375,83.75535583496094,24.543697357177734
2010-02-26,69.50810241699219,109.43000030517578,83.80829620361328,24.53271484375
2010-03-01,69.61014556884766,109.43000030517578,84.67862701416016,24.741592407226562
2010-03-02,69.6368179321289,111.0199966430664,84.91326904296875,24.752580642700195
2010-03-03,69.6368179321289,111.62999725341797,84.98894500732422,24.686622619628906
2010-03-04,69.76359558105469,110.83000183105469,85.24623107910156,24.840532302856445
2010-03-05,69.63018035888672,110.80999755859375,86.4646987915039,25.516653060913086
2010-03-08,69.67681884765625,109.87999725341797,86.47982788085938,25.77499771118164
2010-03-09,69.75688934326172,109.72000122070312,86.62361145019531,25.835468292236328
2010-03-10,69.71025085449219,108.47000122070312,87.00960540771484,26.06634521484375
2010-03-11,69.71025085449219,108.5999984741211,87.37287139892578,26.220256805419922
2010-03-12,69.71690368652344,107.94999694824219,87.38041687011719,26.42915153503418
2010-03-15,69.80360412597656,108.36000061035156,87.40315246582031,26.36867904663086
2010-03-16,69.9303207397461,110.4000015258789,88.09939575195312,27.006319046020508
2010-03-17,69.98369598388672,109.58999633789062,88.6216049194336,27.407588958740234
2010-03-18,69.92365264892578,110.33999633789062,88.576171875,27.259174346923828
2010-03-19,69.87028503417969,108.27999877929688,88.12784576416016,26.96234893798828
2010-03-22,69.92365264892578,107.75,88.59896087646484,27.30314826965332
2010-03-23,69.93701934814453,108.31999969482422,89.22212982177734,27.22618865966797
2010-03-24,69.58344268798828,106.30000305175781,88.7889633178711,27.374610900878906
2010-03-25,69.40343475341797,106.77999877929688,88.64457702636719,27.44161605834961
2010-03-26,69.5167465209961,108.58999633789062,88.59139251708984,27.297639846801758
2010-03-29,69.436767578125,108.75,89.15373229980469,27.38070297241211
2010-03-30,69.46340942382812,107.97000122070312,89.21450805664062,27.34193992614746
2010-03-31,69.5034408569336,108.94999694824219,88.91053009033203,27.031795501708984
2010-04-01,69.47734069824219,110.26000213623047,89.51847076416016,27.170249938964844
2010-04-05,69.04914855957031,110.88999938964844,90.24801635742188,27.76837921142578
2010-04-06,69.13616180419922,111.02999877929688,90.4607925415039,28.405271530151367
2010-04-07,69.43050384521484,112.48999786376953,89.94400787353516,27.779457092285156
2010-04-08,69.36358642578125,112.6500015258789,90.25560760498047,27.812685012817383
2010-04-09,69.43722534179688,113.63999938964844,90.84835815429688,28.20589256286621
2010-04-12,69.59780883789062,113.01000213623047,90.99272155761719,28.02865982055664
2010-04-13,69.71147155761719,112.69000244140625,91.0611343383789,28.71539306640625
2010-04-14,69.63121795654297,113.02999877929688,92.09461212158203,28.75970458984375
2010-04-15,69.75833892822266,113.6500015258789,92.17062377929688,27.97328758239746
