Date,Unconstrained,Constrained
2010-01-05,1.0035561771569768,1.0034891791122946
2010-01-06,1.0046612220174154,1.004756549781651
2010-01-07,1.0047702472890105,1.0048767809690142
2010-01-08,1.0065285383501545,1.0067018393245222
2010-01-11,1.0074847320443956,1.0078038250372279
2010-01-12,1.0069984601734299,1.0069161929842185
2010-01-13,1.0076880713193683,1.0078564868750512
2010-01-14,1.010477520269259,1.0106631868728202
2010-01-15,1.0074171695847163,1.0073576356176837
2010-01-19,1.0107008885217115,1.0108531275955177
2010-01-20,1.0074191869408697,1.0072125618132328
2010-01-21,1.0005819807216445,1.0000469181112108
2010-01-22,0.9939783911830126,0.9931919268882843
2010-01-25,0.9956943775815681,0.9949854252283649
2010-01-26,0.9952419459311613,0.9944737031694968
2010-01-27,0.9954994594605783,0.9947108334671333
2010-01-28,0.9914426490263565,0.9905527519511885
2010-01-29,0.9891942068388139,0.988111057045819
2010-02-01,0.9947385474442044,0.9940261449623309
2010-02-02,0.9996685412777582,0.9991162055321268
2010-02-03,0.9967216545412724,0.9961202362854057
2010-02-04,0.9858058130712023,0.9845058683785359
2010-02-05,0.986883305444637,0.9856210619076449
2010-02-08,0.9854209661312429,0.98399963802674
2010-02-09,0.9890745203934914,0.9879209277467397
2010-02-10,0.9868701743416682,0.9857186913359433
2010-02-11,0.9904529306640645,0.9895973274398712
2010-02-12,0.9902560612234105,0.9893813706367337
2010-02-16,0.9983503405776604,0.9977884914519471
2010-02-17,0.9976462248705782,0.9971617231798314
2010-02-18,0.999708599542563,0.9993484879104716
2010-02-19,1.0004698565142551,1.0000757079601739
2010-02-22,0.9991773855495217,0.9987865335317283
2010-02-23,0.9968573753620471,0.9961819503928443
2010-02-24,0.9999428780463833,0.9992964690156608
2010-02-25,1.0014419834186576,1.0008197120305415
2010-02-26,1.0025343649395924,1.0020044002918043
2010-03-01,1.006628081168563,1.0061744512996857
2010-03-02,1.0088217588496957,1.0085156724337556
2010-03-03,1.0095143348060185,1.0092654887622108
2010-03-04,1.011040924060644,1.010725146350567
2010-03-05,1.0142483812241034,1.0141142489532242
2010-03-08,1.0140816133919246,1.0138623257328874
2010-03-09,1.0152070466153584,1.014969829406242
2010-03-10,1.0152982971846953,1.0150194110899453
2010-03-11,1.0166858632562443,1.016460500873252
2010-03-12,1.0163141812459973,1.0160349721269115
2010-03-15,1.0174681782688748,1.0172010467473904
2010-03-16,1.0225326778004833,1.0224788692584967
2010-03-17,1.0243032810397434,1.0242312049424962
2010-03-18,1.0241270967116916,1.0241273543255511
2010-03-19,1.0206177566364336,1.020413298367471
2010-03-22,1.0223917421005573,1.022184420696963
2010-03-23,1.0251186764421112,1.0250276793547008
2010-03-24,1.01894886364925,1.018739160787901
2010-03-25,1.0171575684658498,1.0170212585552842
2010-03-26,1.0192981623822248,1.0192740510812315
2010-03-29,1.0206634885588646,1.0207407474057242
2010-03-30,1.0205668962610241,1.0205800780957126
2010-03-31,1.0205659358826933,1.0206131287664713
2010-04-01,1.0233868238569965,1.0236196108536242
2010-04-05,1.022473478739389,1.0229616790983527
2010-04-06,1.0241052062652507,1.024605680795884
2010-04-07,1.0260300534311524,1.0265064221729105
2010-04-08,1.026614641426711,1.0271590717223675
2010-04-09,1.0300302929974108,1.0307034591597968
2010-04-12,1.031574694217348,1.0321707170008685
2010-04-13,1.032634384618267,1.0331815842064052
2010-04-14,1.035716206586734,1.0364345442257499
2010-04-15,1.0375759721384483,1.0383180414883024
2010-04-16,1.031856361124904,1.0322035300755514
2010-04-19,1.0318203028889075,1.0322355190295849
2010-04-20,1.0358964611689263,1.0364007194159985
2010-04-21,1.0370203289284683,1.0375408926037493
2010-04-22,1.0363504763735785,1.0369039507565776
2010-04-23,1.0385622287487826,1.0393195394902195
2010-04-26,1.036997445125712,1.0376802001627932
2010-04-27,1.032834807075178,1.0333525066438578
2010-04-28,1.0340383691347048,1.0346416909354612
2010-04-29,1.0381816265337052,1.0389086008966975
2010-04-30,1.0363064363094654,1.0368527758941088
2010-05-03,1.0394489795264765,1.040200459883027
2010-05-04,1.033983335983947,1.0343343220295584
2010-05-05,1.0317610787954252,1.0320805466393506
2010-05-06,1.0244965761036426,1.0247010523758284
2010-05-07,1.0169127359923684,1.0170284370284668
2010-05-10,1.030090943139019,1.0306153034071657
2010-05-11,1.0336173912674604,1.034276692237005
2010-05-12,1.0378433259372668,1.038728956382775
2010-05-13,1.0342785081908348,1.0349383492670556
2010-05-14,1.030752101589885,1.031132957564159
2010-05-17,1.0297805913416365,1.030106142284418
2010-05-18,1.0277657472973585,1.0278904431950089
2010-05-19,1.02442445762268,1.0242654278359746
2010-05-20,1.0115350757867905,1.0109388893773859
2010-05-21,1.018313596680164,1.0177354546655282
2010-05-24,1.0150412403650373,1.0144670423218571
2010-05-25,1.0164699778205637,1.0159213137786662
2010-05-26,1.0146087428193653,1.0141039470579296
2010-05-27,1.0236576565451865,1.0235572912112003
2010-05-28,1.0205141615215296,1.0202769016828641
2010-06-01,1.016974880018542,1.0166081238452163
2010-06-02,1.024331030473084,1.0242426262774682
2010-06-03,1.0239359978759182,1.0237573222536998
2010-06-04,1.015365116066021,1.0148636455016002
2010-06-07,1.014820466776764,1.0143043414840136
2010-06-08,1.0171246823280289,1.01670451847452
2010-06-09,1.0155400394224223,1.015021882256756
2010-06-10,1.0217071477198563,1.0214305282276996
2010-06-11,1.0242555216645894,1.024095702947553
2010-06-14,1.0244069734135055,1.0241728933340146
2010-06-15,1.0324250520191067,1.032530813704798
2010-06-16,1.0328541647831433,1.0328775859713828
